,Country,Continent,Region,Development,total immigration,1980s immigration,1990s immigration,2000s immigration
0,Afghanistan,Asia,Southern Asia,Developing regions,58639.0,3693.0,15845.0,30501.0
1,Albania,Europe,Southern Europe,Developed regions,15699.0,9.0,2568.0,10799.0
2,Algeria,Africa,Northern Africa,Developing regions,69439.0,1271.0,13153.0,37833.0
3,American Samoa,Oceania,Polynesia,Developing regions,6.0,3.0,2.0,1.0
4,Andorra,Europe,Southern Europe,Developed regions,15.0,2.0,6.0,5.0
5,Angola,Africa,Middle Africa,Developing regions,2113.0,50.0,285.0,1563.0
6,Antigua and Barbuda,Latin America and the Caribbean,Caribbean,Developing regions,981.0,291.0,315.0,235.0
7,Argentina,Latin America and the Caribbean,South America,Developing regions,19596.0,3738.0,5686.0,8890.0
8,Armenia,Asia,Western Asia,Developing regions,3310.0,0.0,602.0,1755.0
9,Australia,Oceania,Australia and New Zealand,Developed regions,23829.0,4564.0,6574.0,8804.0
10,Austria,Europe,Western Europe,Developed regions,4985.0,1968.0,1546.0,1071.0
11,Azerbaijan,Asia,Western Asia,Developing regions,2649.0,0.0,238.0,1846.0
12,Bahamas,Latin America and the Caribbean,Caribbean,Developing regions,808.0,243.0,195.0,190.0
13,Bahrain,Asia,Western Asia,Developing regions,475.0,29.0,145.0,181.0
14,Bangladesh,Asia,Southern Asia,Developing regions,65568.0,2376.0,18532.0,30816.0
15,Barbados,Latin America and the Caribbean,Caribbean,Developing regions,6923.0,2935.0,2388.0,1153.0
16,Belarus,Europe,Eastern Europe,Developed regions,7975.0,0.0,1755.0,4901.0
17,Belgium,Europe,Western Europe,Developed regions,10762.0,3351.0,2430.0,3505.0
18,Belize,Latin America and the Caribbean,Central America,Developing regions,1083.0,274.0,344.0,303.0
19,Benin,Africa,Western Africa,Developing regions,2852.0,65.0,226.0,1199.0
20,Bhutan,Asia,Southern Asia,Developing regions,5876.0,2.0,18.0,951.0
21,Bolivia (Plurinational State of),Latin America and the Caribbean,South America,Developing regions,3205.0,644.0,1062.0,1043.0
22,Bosnia and Herzegovina,Europe,Southern Europe,Developed regions,21855.0,0.0,17789.0,3518.0
23,Botswana,Africa,Southern Africa,Developing regions,396.0,49.0,21.0,91.0
24,Brazil,Latin America and the Caribbean,South America,Developing regions,29659.0,2530.0,6931.0,12736.0
25,Brunei Darussalam,Asia,South-Eastern Asia,Developing regions,600.0,295.0,221.0,57.0
26,Bulgaria,Europe,Eastern Europe,Developed regions,23310.0,337.0,7481.0,13608.0
27,Burkina Faso,Africa,Western Africa,Developing regions,2043.0,48.0,154.0,920.0
28,Burundi,Africa,Eastern Africa,Developing regions,8110.0,24.0,1085.0,4704.0
29,Cabo Verde,Africa,Western Africa,Developing regions,201.0,36.0,104.0,47.0
30,Cambodia,Asia,South-Eastern Asia,Developing regions,6538.0,171.0,2175.0,3275.0
31,Cameroon,Africa,Middle Africa,Developing regions,16021.0,142.0,1137.0,6358.0
32,Canada,Northern America,Northern America,Developed regions,20.0,0.0,16.0,0.0
33,Central African Republic,Africa,Middle Africa,Developing regions,550.0,17.0,69.0,206.0
34,Chad,Africa,Middle Africa,Developing regions,1653.0,28.0,260.0,1005.0
35,Chile,Latin America and the Caribbean,South America,Developing regions,21359.0,9475.0,6874.0,3932.0
36,China,Asia,Eastern Asia,Developing regions,659962.0,32003.0,161528.0,340385.0
37,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Developing regions,9327.0,0.0,681.0,5930.0
